year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,contest_id
2023,16340,4/8/2023,Cornell,167,8,Ivy League,865,/team/167/16340,1,Brown,80,12,Ivy League,865,/team/80/16340,1,NA,NA,/contests/2400891/box_score,https://stats.ncaa.org/contests/2400891/box_score,2400891
2023,16340,4/8/2023,Cornell,167,0,Ivy League,865,/team/167/16340,1,Brown,80,1,Ivy League,865,/team/80/16340,1,NA,NA,/contests/2409533/box_score,https://stats.ncaa.org/contests/2409533/box_score,2409533
2023,16340,4/9/2023,Cornell,167,2,Ivy League,865,/team/167/16340,1,Brown,80,5,Ivy League,865,/team/80/16340,1,NA,NA,/contests/2401189/box_score,https://stats.ncaa.org/contests/2401189/box_score,2401189
2023,16340,4/11/2023,Binghamton,62,6,America East,845,/team/62/16340,1,Cornell,167,0,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2401529/box_score,https://stats.ncaa.org/contests/2401529/box_score,2401529
2023,16340,4/14/2023,Harvard,275,7,Ivy League,865,/team/275/16340,1,Cornell,167,6,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2402594/box_score,https://stats.ncaa.org/contests/2402594/box_score,2402594
2023,16340,4/15/2023,Harvard,275,6,Ivy League,865,/team/275/16340,1,Cornell,167,11,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2402181/box_score,https://stats.ncaa.org/contests/2402181/box_score,2402181
2023,16340,4/15/2023,Harvard,275,2,Ivy League,865,/team/275/16340,1,Cornell,167,3,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2409597/box_score,https://stats.ncaa.org/contests/2409597/box_score,2409597
2023,16340,4/21/2023,Cornell,167,8,Ivy League,865,/team/167/16340,1,Princeton,554,11,Ivy League,865,/team/554/16340,1,NA,NA,/contests/2404023/box_score,https://stats.ncaa.org/contests/2404023/box_score,2404023
2023,16340,4/22/2023,Cornell,167,5,Ivy League,865,/team/167/16340,1,Princeton,554,8,Ivy League,865,/team/554/16340,1,NA,NA,/contests/2403642/box_score,https://stats.ncaa.org/contests/2403642/box_score,2403642
2023,16340,4/22/2023,Cornell,167,0,Ivy League,865,/team/167/16340,1,Princeton,554,11,Ivy League,865,/team/554/16340,1,NA,NA,/contests/2411053/box_score,https://stats.ncaa.org/contests/2411053/box_score,2411053
2023,16340,4/28/2023,Cornell,167,4,Ivy League,865,/team/167/16340,1,Penn,540,5,Ivy League,865,/team/540/16340,1,NA,NA,/contests/2431580/box_score,https://stats.ncaa.org/contests/2431580/box_score,2431580
2023,16340,4/28/2023,Cornell,167,11,Ivy League,865,/team/167/16340,1,Penn,540,9,Ivy League,865,/team/540/16340,1,NA,NA,/contests/2431632/box_score,https://stats.ncaa.org/contests/2431632/box_score,2431632
2023,16340,4/29/2023,Cornell,167,3,Ivy League,865,/team/167/16340,1,Penn,540,4,Ivy League,865,/team/540/16340,1,NA,NA,/contests/2410995/box_score,https://stats.ncaa.org/contests/2410995/box_score,2410995
2023,16340,5/6/2023,Dartmouth,172,2,Ivy League,865,/team/172/16340,1,Cornell,167,6,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2406323/box_score,https://stats.ncaa.org/contests/2406323/box_score,2406323
2023,16340,5/6/2023,Dartmouth,172,2,Ivy League,865,/team/172/16340,1,Cornell,167,7,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2411603/box_score,https://stats.ncaa.org/contests/2411603/box_score,2411603
2023,16340,5/7/2023,Dartmouth,172,3,Ivy League,865,/team/172/16340,1,Cornell,167,2,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2406575/box_score,https://stats.ncaa.org/contests/2406575/box_score,2406575
2024,16580,2/23/2024,Georgia Tech,255,9,ACC,821,/team/255/16580,1,Cornell,167,6,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4526549/box_score,https://stats.ncaa.org/contests/4526549/box_score,4526549
2024,16580,2/24/2024,Georgia Tech,255,12,ACC,821,/team/255/16580,1,Cornell,167,2,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4526840/box_score,https://stats.ncaa.org/contests/4526840/box_score,4526840
2024,16580,2/25/2024,Georgia Tech,255,4,ACC,821,/team/255/16580,1,Cornell,167,11,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4527253/box_score,https://stats.ncaa.org/contests/4527253/box_score,4527253
2024,16580,3/1/2024,James Madison,317,5,Sun Belt,818,/team/317/16580,1,Cornell,167,1,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4527913/box_score,https://stats.ncaa.org/contests/4527913/box_score,4527913
2024,16580,3/2/2024,James Madison,317,8,Sun Belt,818,/team/317/16580,1,Cornell,167,5,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4528340/box_score,https://stats.ncaa.org/contests/4528340/box_score,4528340
2024,16580,3/3/2024,James Madison,317,7,Sun Belt,818,/team/317/16580,1,Cornell,167,5,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4528649/box_score,https://stats.ncaa.org/contests/4528649/box_score,4528649
2024,16580,3/10/2024,Georgetown,251,20,Big East,30184,/team/251/16580,1,Cornell,167,0,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4543870/box_score,https://stats.ncaa.org/contests/4543870/box_score,4543870
2024,16580,3/10/2024,Georgetown,251,24,Big East,30184,/team/251/16580,1,Cornell,167,6,Ivy League,865,/team/167/16580,1,NA,NA,/contests/4530180/box_score,https://stats.ncaa.org/contests/4530180/box_score,4530180
